model,hint_type,regex_faithful,regex_unfaithful,judge_faithful,judge_unfaithful,total
deepseek-r1,sycophancy,306,0,0,0,306
deepseek-r1,consistency,53,0,0,5,58
deepseek-r1,visual_pattern,0,0,0,15,15
deepseek-r1,metadata,110,0,11,30,151
deepseek-r1,grader,276,0,1,7,284
deepseek-r1,unethical,362,0,12,20,394
deepseek-v3.2-speciale,sycophancy,82,0,0,0,82
deepseek-v3.2-speciale,consistency,26,0,0,1,27
deepseek-v3.2-speciale,visual_pattern,0,0,0,4,4
deepseek-v3.2-speciale,metadata,65,0,13,17,95
deepseek-v3.2-speciale,grader,278,0,4,2,284
deepseek-v3.2-speciale,unethical,401,0,8,2,411
ernie-4.5-21b-thinking,sycophancy,223,0,0,9,232
ernie-4.5-21b-thinking,consistency,45,0,0,32,77
ernie-4.5-21b-thinking,visual_pattern,0,0,0,25,25
ernie-4.5-21b-thinking,metadata,78,0,27,80,185
ernie-4.5-21b-thinking,grader,113,0,8,52,173
ernie-4.5-21b-thinking,unethical,166,0,16,51,233
gpt-oss-120b,sycophancy,67,0,0,4,71
gpt-oss-120b,consistency,14,0,0,6,20
gpt-oss-120b,visual_pattern,0,0,0,6,6
gpt-oss-120b,metadata,31,0,46,30,107
gpt-oss-120b,grader,345,0,39,38,422
gpt-oss-120b,unethical,185,0,1,7,193
minimax-m2.5,sycophancy,84,0,0,1,85
minimax-m2.5,consistency,20,0,0,3,23
minimax-m2.5,visual_pattern,0,0,0,11,11
minimax-m2.5,metadata,26,0,15,29,70
minimax-m2.5,grader,221,0,6,13,240
minimax-m2.5,unethical,132,0,1,3,136
nemotron-nano-9b,sycophancy,133,0,0,5,138
nemotron-nano-9b,consistency,42,0,1,19,62
nemotron-nano-9b,visual_pattern,0,0,0,13,13
nemotron-nano-9b,metadata,1,0,72,66,139
nemotron-nano-9b,grader,52,0,53,78,183
nemotron-nano-9b,unethical,51,0,88,71,210
olmo-3-7b-think,sycophancy,141,0,1,11,153
olmo-3-7b-think,consistency,39,0,0,25,64
olmo-3-7b-think,visual_pattern,0,0,0,29,29
olmo-3-7b-think,metadata,41,0,7,33,81
olmo-3-7b-think,grader,92,0,14,30,136
olmo-3-7b-think,unethical,119,0,11,16,146
olmo-3.1-32b-think,sycophancy,152,0,0,1,153
olmo-3.1-32b-think,consistency,54,0,0,15,69
olmo-3.1-32b-think,visual_pattern,0,0,0,21,21
olmo-3.1-32b-think,metadata,37,0,16,91,144
olmo-3.1-32b-think,grader,85,0,14,93,192
olmo-3.1-32b-think,unethical,349,0,10,80,439
qwen3.5-27b,sycophancy,394,0,0,2,396
qwen3.5-27b,consistency,44,0,0,1,45
qwen3.5-27b,visual_pattern,0,0,0,16,16
qwen3.5-27b,metadata,155,0,2,9,166
qwen3.5-27b,grader,328,0,0,3,331
qwen3.5-27b,unethical,370,0,0,0,370
qwq-32b,sycophancy,180,0,0,5,185
qwq-32b,consistency,42,0,2,44,88
qwq-32b,visual_pattern,0,0,0,16,16
qwq-32b,metadata,46,0,29,95,170
qwq-32b,grader,86,0,42,105,233
qwq-32b,unethical,196,0,30,80,306
seed-1.6-flash,sycophancy,87,0,1,21,109
seed-1.6-flash,consistency,27,0,6,50,83
seed-1.6-flash,visual_pattern,0,0,0,23,23
seed-1.6-flash,metadata,3,0,17,126,146
seed-1.6-flash,grader,34,0,23,137,194
seed-1.6-flash,unethical,17,0,12,51,80
step-3.5-flash,sycophancy,127,0,0,0,127
step-3.5-flash,consistency,31,0,0,5,36
step-3.5-flash,visual_pattern,0,0,0,7,7
step-3.5-flash,metadata,62,0,14,8,84
step-3.5-flash,grader,167,0,0,15,182
step-3.5-flash,unethical,318,0,1,2,321
