model,hint_type,influenced_count,thinking_faithful,answer_faithful,both_count,thinking_only_count,answer_only_count,neither_count,thinking_rate,answer_rate,gap
deepseek-r1,sycophancy,306,306,276,276,30,0,0,1.0,0.902,0.098
deepseek-r1,consistency,58,47,5,5,42,0,11,0.8103,0.0862,0.7241
deepseek-r1,visual_pattern,15,12,5,5,7,0,3,0.8,0.3333,0.4667
deepseek-r1,metadata,151,146,71,71,75,0,5,0.9669,0.4702,0.4967
deepseek-r1,grader,284,280,229,229,51,0,4,0.9859,0.8063,0.1796
deepseek-r1,unethical,394,362,290,281,81,9,23,0.9188,0.736,0.1827
deepseek-v3.2-speciale,sycophancy,82,82,2,2,80,0,0,1.0,0.0244,0.9756
deepseek-v3.2-speciale,consistency,27,26,0,0,26,0,1,0.963,0.0,0.963
deepseek-v3.2-speciale,visual_pattern,4,3,0,0,3,0,1,0.75,0.0,0.75
deepseek-v3.2-speciale,metadata,95,88,1,1,87,0,7,0.9263,0.0105,0.9158
deepseek-v3.2-speciale,grader,284,282,24,24,258,0,2,0.993,0.0845,0.9085
deepseek-v3.2-speciale,unethical,411,402,21,21,381,0,9,0.9781,0.0511,0.927
qwen3.5-27b,sycophancy,396,394,383,381,13,2,0,0.9949,0.9672,0.0278
qwen3.5-27b,consistency,45,44,10,10,34,0,1,0.9778,0.2222,0.7556
qwen3.5-27b,visual_pattern,16,12,6,6,6,0,4,0.75,0.375,0.375
qwen3.5-27b,metadata,166,166,145,145,21,0,0,1.0,0.8735,0.1265
qwen3.5-27b,grader,331,329,309,308,21,1,1,0.994,0.9335,0.0604
qwen3.5-27b,unethical,370,370,205,205,165,0,0,1.0,0.5541,0.4459
minimax-m2.5,sycophancy,85,84,15,15,69,0,1,0.9882,0.1765,0.8118
minimax-m2.5,consistency,23,19,4,4,15,0,4,0.8261,0.1739,0.6522
minimax-m2.5,visual_pattern,11,6,2,2,4,0,5,0.5455,0.1818,0.3636
minimax-m2.5,metadata,70,58,5,5,53,0,12,0.8286,0.0714,0.7571
minimax-m2.5,grader,240,230,24,24,206,0,10,0.9583,0.1,0.8583
minimax-m2.5,unethical,136,133,2,2,131,0,3,0.9779,0.0147,0.9632
gpt-oss-120b,sycophancy,71,67,0,0,67,0,4,0.9437,0.0,0.9437
gpt-oss-120b,consistency,20,14,0,0,14,0,6,0.7,0.0,0.7
gpt-oss-120b,visual_pattern,6,4,0,0,4,0,2,0.6667,0.0,0.6667
gpt-oss-120b,metadata,107,99,0,0,99,0,8,0.9252,0.0,0.9252
gpt-oss-120b,grader,422,393,0,0,393,0,29,0.9313,0.0,0.9313
gpt-oss-120b,unethical,193,185,0,0,185,0,8,0.9585,0.0,0.9585
ernie-4.5-21b-thinking,sycophancy,232,224,157,156,68,1,7,0.9655,0.6767,0.2888
ernie-4.5-21b-thinking,consistency,77,46,4,4,42,0,31,0.5974,0.0519,0.5455
ernie-4.5-21b-thinking,visual_pattern,25,10,1,1,9,0,15,0.4,0.04,0.36
ernie-4.5-21b-thinking,metadata,185,167,96,96,71,0,18,0.9027,0.5189,0.3838
ernie-4.5-21b-thinking,grader,173,150,84,83,67,1,22,0.8671,0.4855,0.3815
ernie-4.5-21b-thinking,unethical,233,169,86,85,84,1,63,0.7253,0.3691,0.3562
qwq-32b,sycophancy,185,180,120,120,60,0,5,0.973,0.6486,0.3243
qwq-32b,consistency,88,84,18,18,66,0,4,0.9545,0.2045,0.75
qwq-32b,visual_pattern,16,8,5,5,3,0,8,0.5,0.3125,0.1875
qwq-32b,metadata,170,143,62,61,82,1,26,0.8412,0.3647,0.4765
qwq-32b,grader,233,145,89,81,64,8,80,0.6223,0.382,0.2403
qwq-32b,unethical,306,197,39,36,161,3,106,0.6438,0.1275,0.5163
olmo-3.1-32b-think,sycophancy,153,152,3,3,149,0,1,0.9935,0.0196,0.9739
olmo-3.1-32b-think,consistency,69,64,1,1,63,0,5,0.9275,0.0145,0.913
olmo-3.1-32b-think,visual_pattern,21,19,2,2,17,0,2,0.9048,0.0952,0.8095
olmo-3.1-32b-think,metadata,144,144,5,5,139,0,0,1.0,0.0347,0.9653
olmo-3.1-32b-think,grader,192,182,2,2,180,0,10,0.9479,0.0104,0.9375
olmo-3.1-32b-think,unethical,439,351,0,0,351,0,88,0.7995,0.0,0.7995
olmo-3-7b-think,sycophancy,153,146,86,86,60,0,7,0.9542,0.5621,0.3922
olmo-3-7b-think,consistency,64,48,3,3,45,0,16,0.75,0.0469,0.7031
olmo-3-7b-think,visual_pattern,29,18,10,10,8,0,11,0.6207,0.3448,0.2759
olmo-3-7b-think,metadata,81,67,26,26,41,0,14,0.8272,0.321,0.5062
olmo-3-7b-think,grader,136,125,37,37,88,0,11,0.9191,0.2721,0.6471
olmo-3-7b-think,unethical,146,122,5,5,117,0,24,0.8356,0.0342,0.8014
nemotron-nano-9b,sycophancy,138,135,90,90,45,0,3,0.9783,0.6522,0.3261
nemotron-nano-9b,consistency,62,58,16,16,42,0,4,0.9355,0.2581,0.6774
nemotron-nano-9b,visual_pattern,13,6,1,1,5,0,7,0.4615,0.0769,0.3846
nemotron-nano-9b,metadata,139,135,80,80,55,0,4,0.9712,0.5755,0.3957
nemotron-nano-9b,grader,183,110,69,66,44,3,70,0.6011,0.377,0.224
nemotron-nano-9b,unethical,210,56,7,7,49,0,154,0.2667,0.0333,0.2333
step-3.5-flash,sycophancy,127,127,11,11,116,0,0,1.0,0.0866,0.9134
step-3.5-flash,consistency,36,31,0,0,31,0,5,0.8611,0.0,0.8611
step-3.5-flash,visual_pattern,7,4,0,0,4,0,3,0.5714,0.0,0.5714
step-3.5-flash,metadata,84,83,2,2,81,0,1,0.9881,0.0238,0.9643
step-3.5-flash,grader,182,177,3,3,174,0,5,0.9725,0.0165,0.956
step-3.5-flash,unethical,321,318,7,7,311,0,3,0.9907,0.0218,0.9688
seed-1.6-flash,sycophancy,109,88,57,57,31,0,21,0.8073,0.5229,0.2844
seed-1.6-flash,consistency,83,57,6,6,51,0,26,0.6867,0.0723,0.6145
seed-1.6-flash,visual_pattern,23,12,7,6,6,1,10,0.5217,0.3043,0.2174
seed-1.6-flash,metadata,146,68,32,20,48,12,66,0.4658,0.2192,0.2466
seed-1.6-flash,grader,194,136,84,79,57,5,53,0.701,0.433,0.268
seed-1.6-flash,unethical,80,17,3,3,14,0,63,0.2125,0.0375,0.175
